,image,mask
0,CMU_a_0050642_abide_msp.nii-slice000.jpg,CMU_a_0050642_abide_cc.nii-slice000.jpg
1,CMU_a_0050646_abide_msp.nii-slice000.jpg,CMU_a_0050646_abide_cc.nii-slice000.jpg
2,CMU_a_0050647_abide_msp.nii-slice000.jpg,CMU_a_0050647_abide_cc.nii-slice000.jpg
3,CMU_a_0050649_abide_msp.nii-slice000.jpg,CMU_a_0050649_abide_cc.nii-slice000.jpg
4,CMU_a_0050653_abide_msp.nii-slice000.jpg,CMU_a_0050653_abide_cc.nii-slice000.jpg
5,CMU_a_0050654_abide_msp.nii-slice000.jpg,CMU_a_0050654_abide_cc.nii-slice000.jpg
6,CMU_a_0050656_abide_msp.nii-slice000.jpg,CMU_a_0050656_abide_cc.nii-slice000.jpg
7,CMU_a_0050659_abide_msp.nii-slice000.jpg,CMU_a_0050659_abide_cc.nii-slice000.jpg
8,CMU_a_0050660_abide_msp.nii-slice000.jpg,CMU_a_0050660_abide_cc.nii-slice000.jpg
9,CMU_a_0050663_abide_msp.nii-slice000.jpg,CMU_a_0050663_abide_cc.nii-slice000.jpg
10,CMU_a_0050664_abide_msp.nii-slice000.jpg,CMU_a_0050664_abide_cc.nii-slice000.jpg
11,CMU_a_0050665_abide_msp.nii-slice000.jpg,CMU_a_0050665_abide_cc.nii-slice000.jpg
12,CMU_a_0050666_abide_msp.nii-slice000.jpg,CMU_a_0050666_abide_cc.nii-slice000.jpg
13,CMU_a_0050668_abide_msp.nii-slice000.jpg,CMU_a_0050668_abide_cc.nii-slice000.jpg
14,CMU_b_0050643_abide_msp.nii-slice000.jpg,CMU_b_0050643_abide_cc.nii-slice000.jpg
15,CMU_b_0050644_abide_msp.nii-slice000.jpg,CMU_b_0050644_abide_cc.nii-slice000.jpg
16,CMU_b_0050645_abide_msp.nii-slice000.jpg,CMU_b_0050645_abide_cc.nii-slice000.jpg
17,CMU_b_0050648_abide_msp.nii-slice000.jpg,CMU_b_0050648_abide_cc.nii-slice000.jpg
18,CMU_b_0050650_abide_msp.nii-slice000.jpg,CMU_b_0050650_abide_cc.nii-slice000.jpg
19,CMU_b_0050651_abide_msp.nii-slice000.jpg,CMU_b_0050651_abide_cc.nii-slice000.jpg
